ACCIDENT_NO,LIGHT_CONDITION,SEVERITY,SPEED_ZONE,ROAD_GEOMETRY,NO_PERSONS_NOT_INJ,LICENCE_STATE,SEATING_POSITION,HELMET_BELT_WORN
T20120001248,1,3,60,1,1,1,1,0
T20120001245,1,2,50,1,1,1,1,1
T20120005055,1,3,50,2,1,1,0,0
T20120001216,1,3,50,1,1,1,0,0
T20120001312,1,3,60,1,2,1,1,1
T20120001215,1,2,100,5,0,1,1,0
T20120001210,1,3,60,2,1,1,1,1
T20120001197,1,3,50,5,0,1,1,1
T20120001242,1,3,100,5,1,1,1,1
T20120001258,3,2,80,1,0,1,1,1
T20120001191,1,3,60,2,1,1,1,0
T20120001239,1,3,70,2,1,1,1,0
T20120001234,1,3,80,1,4,1,1,1
T20120001183,1,3,60,1,2,1,1,1
T20120001185,1,2,60,2,1,1,1,1
T20120001588,4,2,60,2,0,1,1,1
T20120001244,1,3,50,5,4,1,1,0
T20120002912,1,3,60,1,1,1,1,0
T20120001231,1,2,60,1,1,1,1,1
T20120001356,1,3,70,2,1,1,1,1
T20120001364,1,3,50,1,1,1,1,1
T20120001229,1,2,100,1,1,1,1,1
T20120001370,1,3,50,5,2,1,1,0
T20120001227,0,3,80,1,1,1,1,0
T20120001391,1,3,60,2,1,1,1,0
T20120001225,1,3,80,5,2,1,1,1
T20120001223,1,3,70,4,2,1,1,0
T20120001770,1,3,60,2,1,1,1,1
T20120001354,1,3,100,5,0,1,1,0
T20120001293,1,2,60,5,1,1,1,1
T20120001292,1,2,40,1,0,1,1,0
T20120001290,1,2,60,1,0,1,1,1
T20120001289,1,3,50,2,0,1,1,1
T20120001284,1,2,100,5,0,1,1,1
T20120001283,1,3,60,5,0,1,1,1
T20120001275,1,3,50,2,1,1,1,1
T20120001274,2,3,100,5,1,1,1,1
T20120001272,1,3,80,5,0,1,1,1
T20120001271,1,3,50,4,1,1,1,1
T20120001264,3,3,50,2,0,1,1,0
T20120014151,1,3,60,2,1,1,1,1
T20120001479,1,2,30,1,2,1,1,1
T20120001299,1,3,100,5,1,1,1,1
T20120001382,5,3,100,5,0,1,1,0
T20120001378,1,3,50,5,0,1,1,1
T20120001347,1,2,100,5,0,1,1,1
T20120001344,1,3,60,1,0,1,1,1
T20120024665,1,2,60,1,0,1,1,0
T20120001326,1,2,50,1,0,1,0,0
T20120001323,1,2,50,5,0,1,1,1
T20120001318,1,3,60,2,3,1,1,1
T20120001316,1,3,50,5,1,1,1,0
T20120001314,1,3,60,2,4,1,1,1
T20120001311,1,2,80,5,1,1,1,1
T20120011819,1,3,60,1,1,1,1,0
T20120001307,1,3,100,2,1,1,1,0
T20120001306,1,3,0,5,1,1,1,1
T20120001303,1,3,60,1,0,1,1,1
T20120001302,1,3,50,4,2,1,1,0
T20120001301,1,3,50,5,1,1,1,0
T20120001300,1,1,50,5,0,1,1,1
T20120001298,1,2,100,5,1,1,1,1
T20120001296,1,2,80,5,1,1,1,1
T20120001444,1,2,50,5,1,1,1,1
T20120001361,1,3,60,5,1,1,1,0
T20120001366,1,3,50,1,1,1,0,0
T20120002573,1,3,50,5,1,1,1,0
T20120001408,1,2,70,1,1,1,1,0
T20120001410,1,3,50,2,1,1,1,1
T20120001411,1,2,60,5,0,1,1,1
T20120001412,1,2,60,1,1,1,1,1
T20120001413,1,2,100,1,0,1,1,1
T20120001415,1,2,100,5,0,1,1,0
T20120001417,2,3,40,5,5,1,1,0
T20120001419,3,3,60,5,1,1,1,0
T20120001421,3,2,60,1,3,1,1,0
T20120001422,3,2,60,1,2,1,0,0
T20120001374,1,3,60,1,2,1,1,1
T20120001400,1,2,50,1,1,1,1,1
T20120001371,1,3,100,2,4,1,1,0
T20120003046,1,2,40,1,1,1,1,1
T20120001372,1,2,80,2,1,1,1,1
T20120002982,5,2,60,5,0,1,1,1
T20120001399,1,3,80,5,3,1,1,0
T20120001481,1,3,80,5,2,1,1,1
T20120001343,2,3,100,5,0,1,1,1
T20120003465,2,3,70,2,0,1,1,1
T20120001395,1,3,60,2,0,1,1,1
T20120001392,1,3,80,1,1,1,1,0
T20120001340,3,2,60,2,1,1,1,1
T20120001458,1,3,80,5,0,1,1,0
T20120001500,1,3,60,4,1,1,1,0
T20120001859,1,3,50,5,2,1,1,1
T20120001390,1,2,50,1,1,1,1,1
T20120004220,1,3,80,2,1,1,1,1
T20130007999,1,3,50,1,1,1,1,1
T20120001407,2,3,60,2,3,1,1,1
T20120001339,5,2,100,5,0,1,1,0
T20120001643,1,2,60,1,2,1,1,1
T20120001438,1,2,80,2,0,1,1,1
T20120001401,1,2,110,5,3,1,1,0
T20120001773,1,3,60,1,1,1,1,0
T20120001357,1,3,80,5,2,1,1,0
T20120001355,1,2,110,5,0,1,1,0
