ACCIDENT_NO,SEVERITY,SPEED_ZONE,ROAD_GEOMETRY,NO_PERSONS_NOT_INJ,LICENCE_STATE,SEATING_POSITION,HELMET_BELT_WORN,TAKEN_HOSPITAL,MEDIAN_AGE_GROUP,DAY_OF_WEEK,NO_OF_VEHICLES,NO_PERSONS,AGG_LIGH_SURF_ATMOS_COND,VEHICLE_YEAR_MANUF,VEHICLE_FUEL_TYPE,VEHICLES_TARE_WEIGHT,AGG_ROAD_SURFACE_TYPE,CAUGHT_FIRE,HIGHEST_LEVEL_OF_DAMAGE
T20120007218,OTHER,60,1,1,1,1,1,1.0,65+,2,2,2,1.0,1997,P,1448.0,1,2,0
T20120007221,SERIOUS,60,5,3,1,2,0,0.0,26-39,6,3,4,1.0,1994,P,1436.0,1,2,1
T20120007224,OTHER,50,2,1,1,2,0,1.0,26-39,2,2,2,1.0,2008,P,1028.0,1,2,1
T20120007225,SERIOUS,100,1,0,1,2,1,1.0,65+,2,2,3,0.67,1989,P,1400.0,1,2,4
T20120007227,SERIOUS,100,5,0,1,2,1,0.0,40-64,1,1,2,2.67,1992,P,1450.0,1,2,5
T20120007228,OTHER,70,2,1,1,2,1,1.0,40-64,2,2,2,1.0,1998,P,1510.0,1,2,1
T20120007229,SERIOUS,60,1,1,1,1,1,1.0,17-25,2,1,2,1.0,1998,P,1350.0,1,2,1
T20120007230,OTHER,100,5,3,1,1,0,0.0,40-64,2,3,4,1.0,2007,P,1066.0,1,2,1
T20120007231,SERIOUS,60,1,6,1,1,1,1.0,Under 16,2,4,8,1.0,1997,P,1654.0,1,2,3
T20120007233,OTHER,40,5,2,1,2,0,0.0,26-39,2,2,4,1.0,1994,P,1176.0,1,2,1
T20120007234,OTHER,70,5,2,1,1,1,1.0,Under 16,2,2,3,1.0,2003,P,1235.0,1,2,1
T20120007236,OTHER,100,5,0,1,2,0,1.0,40-64,2,1,1,1.0,2003,D,1871.0,3,2,5
T20120007237,SERIOUS,60,5,2,1,1,1,1.0,40-64,2,2,3,1.0,1991,D,1350.0,1,2,1
T20120007239,SERIOUS,50,5,0,1,1,0,0.0,17-25,2,1,1,1.33,1997,P,1219.0,1,2,0
T20120007240,SERIOUS,80,1,1,1,2,0,0.0,65+,2,2,2,1.0,2009,M,1203.0,1,2,0
T20120007241,SERIOUS,60,5,1,1,1,1,0.0,40-64,2,2,2,1.33,2007,P,1527.0,1,2,1
T20120007244,OTHER,60,5,0,1,2,1,1.0,65+,2,2,2,1.0,2008,P,1490.0,1,2,4
T20120007248,OTHER,60,1,1,1,2,1,0.0,40-64,2,2,2,1.33,2002,P,1250.0,1,2,1
T20120007249,OTHER,70,1,1,1,2,1,1.0,17-25,2,2,2,1.33,1993,P,1052.0,1,2,1
T20120007250,SERIOUS,100,5,0,1,2,1,1.0,26-39,2,1,1,1.0,2010,P,1440.0,3,2,5
T20120007255,OTHER,50,5,1,1,2,1,1.0,26-39,3,2,2,1.67,2006,P,1245.0,1,2,4
T20120007260,OTHER,100,5,1,1,2,1,0.0,26-39,2,2,2,1.0,2004,D,2780.0,1,2,2
T20120007262,SERIOUS,100,5,1,1,2,1,0.0,40-64,2,1,2,1.33,2006,P,1380.0,1,2,0
T20120007264,SERIOUS,50,5,0,1,2,0,0.0,40-64,3,2,2,1.67,2001,P,1810.0,1,1,5
T20120007266,OTHER,50,2,0,1,1,1,1.0,40-64,3,2,2,1.0,1996,P,1431.0,1,2,0
T20120007267,SERIOUS,60,5,2,1,2,1,1.0,26-39,3,3,4,0.67,2006,D,5270.0,1,2,1
T20120007269,OTHER,60,1,1,1,2,1,1.0,26-39,3,1,2,1.0,2006,P,1200.0,1,2,0
T20120007271,OTHER,40,5,0,1,1,1,0.0,26-39,3,1,1,1.0,2002,P,1763.0,1,2,0
T20120007274,SERIOUS,60,1,1,1,2,0,0.0,26-39,3,1,2,1.0,2003,P,1500.0,1,2,0
T20120007275,OTHER,60,1,6,1,2,0,1.0,40-64,3,3,7,1.0,2002,P,1323.0,1,2,1
T20120007276,OTHER,80,2,2,1,2,1,1.0,65+,3,2,3,1.0,1999,D,4477.0,1,2,1
T20120007278,OTHER,40,5,1,1,1,1,1.0,Under 16,2,2,2,1.67,2005,P,1315.0,1,2,0
T20120007280,OTHER,50,5,3,1,2,1,1.0,17-25,2,4,5,1.0,1988,P,1480.0,1,2,1
T20120007281,OTHER,60,1,1,1,2,1,1.0,40-64,2,2,2,1.0,2006,P,1332.0,1,2,0
T20120007284,OTHER,60,5,0,1,2,1,1.0,40-64,6,1,1,1.0,2003,D,1584.0,1,2,5
T20120007285,SERIOUS,40,2,1,1,2,1,0.0,17-25,7,2,2,1.0,2004,P,1957.0,1,2,0
T20120007289,OTHER,60,2,1,1,1,1,0.0,Under 16,6,2,2,1.0,1989,M,1400.0,1,2,4
T20120007295,SERIOUS,100,5,0,1,2,1,1.0,17-25,3,1,1,1.0,1998,P,1520.0,1,2,5
T20120007297,OTHER,60,5,3,1,2,0,1.0,17-25,3,2,6,1.0,2005,P,1603.0,1,2,3
T20120007299,OTHER,60,4,1,1,2,0,1.0,40-64,3,2,2,1.33,1993,P,1450.0,1,2,3
T20120007301,OTHER,50,5,1,1,2,1,0.0,26-39,3,1,2,1.0,1989,D,2100.0,1,2,0
T20120007303,OTHER,60,2,0,1,2,0,1.0,40-64,4,1,1,0.67,2003,D,1200.0,1,2,1
T20120007304,OTHER,100,5,0,1,1,1,1.0,Under 16,7,1,1,1.0,2002,P,1346.0,3,2,2
